id;nome;descricao;preco;quantidade;categoria;imagem;catalogo_id
1;Cerveja Bohemia 838 Pale Ale 300ml;A 838 Pale Ale 300ml é uma cerveja de amargor mais acentuado.;4.99;60;Pale Ale;http://emporiodacerveja.vteximg.com.br/arquivos/ids/159367-1000-1000/bohemia-paleale.jpg;1
2;Cerveja Hoegaarden White 330ml;A Cerveja Hoegaarden White 330 ml é uma Witbier belga: feita de trigo, de cor clara e turva.;9.99;400;Cerveja de Trigo;http://emporiodacerveja.vteximg.com.br/arquivos/ids/159707-1000-1000/hoegaarden_premio.jpg;1
3;Cerveja Patagonia Amber Lager 740ml;A cor marrom acobreada e o sabor equilibrado de malte e lúpulo da Cerveja Patagonia Amber Lager 740 ml não deixam dúvidas: está é uma American Amber Lager clássica;16.99;50;Amber Lager;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155869-1000-1000/112869211-1.jpg;1
4;Cerveja Wals Session 300 Ml;A Cerveja Wäls Session, Long Neck 300ml tem massiva quantidade de lúpulo americano Citra e base de malte fazem dessa Session IPA uma explosão de refrescância. Possui amargor moderado e aroma cítrico.;7.99;10;Indian Pale Ale (IPA);http://emporiodacerveja.vteximg.com.br/arquivos/ids/159059-1000-1000/125752046-1.jpg;1
5;Cerveja Colorado Demoiselle 600ml;Cerveja Demoiselle (600ml): Demoiselle é o nome de um dos aviões inventados por Santos Dummont, que passou parte da infância na região da Alta Mogiana.;14.99;1000;Porter;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155435-500-500/colorado_demoiselle_600.jpg;1
6;Cerveja Wäls Bohemian Pilsen 600ml;A espuma aveludada e os três tipos exóticos de lúpulo e fermento especial fazem da Wäls Bohemia Pilsen uma cerveja dourada que aguça o paladar.;13.99;99;Pilsen;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155457-500-500/wals_boheminapilsen_600.jpg;1
7;Cerveja Wäls Brut 750ml;Elaborada com levedura de champagne, a Wäls Brut é uma cerveja que une a tradição do método champenoise de refermentação com a sofisticação presente em suas notas cítricas. É delicada ao paladar e sua coloração é dourada e translúcida. É campeã do Festival Brasileiro de Cerveja 2013, e eleita a melhor do mundo em 2015 pelo World Beer Awards, na categoria Specialty Beer no estilo Brut / Champagne.;120.99;10;Cerveja Especial;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155467-500-500/wals_brut.jpg;1
8;Cerveja Leffe Ruby - 330ml – Unidade;A Cerveja Leffe Ruby 330 ml é uma autêntica Fruit Beer belga que surgiu da combinação única de frutos silvestres, resultando em um aroma delicado, com sabor adocicado e notas de frutas vermelhas — a combinação ideal para brownies, cheesecakes e sorvetes.;9.99;200;Amber Ale;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155769-1000-1000/124887504-1.jpg;1
9;Cerveja Goose Island Honkers Ale 355ml;Inspirada em visitas do fundador da marca, John Hall a pubs ingleses, é uma autêntica English Bitter e foi a primeira cerveja produzida pela marca. Ela combina aroma de lúpulo frutado com um rico meio malte para criar uma cerveja perfeitamente equilibrada.;15.99;100;Amber Ale;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155479-500-500/goose_honkers.jpg;1
10;Cerveja Hertog Jan Dubbel 500ml;Tradicional Belgian Dubbel, a Cerveja Hertog Jan Dubbel 500 ml possui sabor suave, levemente maltado, e coloração marrom avermelhada. Como é feita com malte de trigo e malte torrado escuro, este clássico rótulo holandês conta com notas adocicadas e um final tostado. Seu sabor especial harmoniza perfeitamente com um frango ao vinho ou um pato assado, ou ainda, em momentos mais descontraídos, nozes e azeitonas;30.99;30;Amber Ale;http://emporiodacerveja.vteximg.com.br/arquivos/ids/155460-500-500/hertog_dubbel.jpg;1
